SampleID	PrimerPairID	BarcodeID	ProjectID	Slash_pile_number	Dist_from_edge	Depth_cm
Slashpile20	16sV4V5	Hotel356	16sV4V5/Slashpile-16sV4V5	3	15m	20
Slashpile21	16sV4V5	Hotel357	16sV4V5/Slashpile-16sV4V5	3	15m	5
Slashpile22	16sV4V5	Hotel358	16sV4V5/Slashpile-16sV4V5	3	4.5m	20
Slashpile23	16sV4V5	Hotel359	16sV4V5/Slashpile-16sV4V5	3	4.5m	5
Slashpile24	16sV4V5	Hotel360	16sV4V5/Slashpile-16sV4V5	3	Edge	20
Slashpile25	16sV4V5	Hotel365	16sV4V5/Slashpile-16sV4V5	3	Edge	5
Slashpile26	16sV4V5	Hotel366	16sV4V5/Slashpile-16sV4V5	3	Forest	20
Slashpile27	16sV4V5	Hotel367	16sV4V5/Slashpile-16sV4V5	3	Forest	5
Slashpile28	16sV4V5	Hotel368	16sV4V5/Slashpile-16sV4V5	3	Edge	5
Slashpile1	ITS1	Hotel337	ITS1/Slashpile-ITS1	1	Forest	5
Slashpile2	ITS1	Hotel338	ITS1/Slashpile-ITS1	1	Edge	5
Slashpile3	ITS1	Hotel339	ITS1/Slashpile-ITS1	1	4.5m	5
Slashpile4	ITS1	Hotel340	ITS1/Slashpile-ITS1	1	4.5m	20
Slashpile5	ITS1	Hotel341	ITS1/Slashpile-ITS1	1	15m	5
Slashpile6	ITS1	Hotel342	ITS1/Slashpile-ITS1	1	15m	20
Slashpile7	ITS1	Hotel343	ITS1/Slashpile-ITS1	1	Forest	20
Slashpile8	ITS1	Hotel344	ITS1/Slashpile-ITS1	2	29m	20
Slashpile9	ITS1	Hotel345	ITS1/Slashpile-ITS1	2	29m	5
Slashpile10	ITS1	Hotel346	ITS1/Slashpile-ITS1	2	15m	20
Slashpile11	ITS1	Hotel347	ITS1/Slashpile-ITS1	2	15m	5
Slashpile40	ITS1	Hotel348	ITS1/Slashpile-ITS1	2	4.5m	20
Slashpile13	ITS1	Hotel349	ITS1/Slashpile-ITS1	2	4.5m	5
Slashpile14	ITS1	Hotel350	ITS1/Slashpile-ITS1	2	Edge	20
Slashpile15	ITS1	Hotel351	ITS1/Slashpile-ITS1	2	Edge	5
Slashpile16	ITS1	Hotel352	ITS1/Slashpile-ITS1	2	Forest	20
Slashpile17	ITS1	Hotel353	ITS1/Slashpile-ITS1	2	Forest	5
Slashpile18	ITS1	Hotel354	ITS1/Slashpile-ITS1	3	37.5m	20
Slashpile19	ITS1	Hotel355	ITS1/Slashpile-ITS1	3	37.5m	5
Slashpile20	ITS1	Hotel356	ITS1/Slashpile-ITS1	3	15m	20
Slashpile21	ITS1	Hotel357	ITS1/Slashpile-ITS1	3	15m	5
Slashpile22	ITS1	Hotel358	ITS1/Slashpile-ITS1	3	4.5m	20
Slashpile23	ITS1	Hotel359	ITS1/Slashpile-ITS1	3	4.5m	5
Slashpile24	ITS1	Hotel360	ITS1/Slashpile-ITS1	3	Edge	20
Slashpile25	ITS1	Hotel365	ITS1/Slashpile-ITS1	3	Edge	5
Slashpile26	ITS1	Hotel366	ITS1/Slashpile-ITS1	3	Forest	20
Slashpile27	ITS1	Hotel367	ITS1/Slashpile-ITS1	3	Forest	5
Slashpile28	ITS1	Hotel368	ITS1/Slashpile-ITS1	3	Edge	5
Slashpile1	ITS2	Hotel337	ITS2/Slashpile-ITS2	1	Forest	5
Slashpile2	ITS2	Hotel338	ITS2/Slashpile-ITS2	1	Edge	5
Slashpile3	ITS2	Hotel339	ITS2/Slashpile-ITS2	1	4.5m	5
Slashpile4	ITS2	Hotel340	ITS2/Slashpile-ITS2	1	4.5m	20
Slashpile5	ITS2	Hotel341	ITS2/Slashpile-ITS2	1	15m	5
Slashpile6	ITS2	Hotel342	ITS2/Slashpile-ITS2	1	15m	20
Slashpile7	ITS2	Hotel343	ITS2/Slashpile-ITS2	1	Forest	20
Slashpile8	ITS2	Hotel344	ITS2/Slashpile-ITS2	2	29m	20
